title,description
Henri Richard Gevrey Chambertin Aux Corvees 2017," Henri Richard Gevrey Chambertin Aux Corvees 2017 Henri Richard Gevrey Chambertin Aux Corvees comes from a traditional, family-run, organic estate. The wine opens with notes of raspberries, cranberries and has a slightly barnyard nose. Well balanced, vibrant acidity, and elegant.   100% Pinot Noir. From 22, 40 and 50 years old vines growing in a Clos of old Pinot Noir behind the houses of the old Gevrey-Chambertin village. The vines grow in a temperate oceanic climate with continental tendencies, are exposed due east, at an altitude between 250–350 metres, on a clay-limestone subsoil. Since 2018, the estate's wines have been certified biodynamic by Démeter.  Manual harvest of the grapes and then transport to reception for sorting and gravity vatting. Whole bunch indigenous alcoholic and malolactic fermentation. The wine ages in oak barrels for 18 months. Work by natural racking, clarification and stabilisation without filtration.   AWARDS & ACCOLADES   - 15.5 POINTS     "
"Torrevento Primitivo di Manduria ""Ghenos"" DOC 2017"," Torrevento Primitivo di Manduria ""Ghenos"" DOC 2017         Deep ruby red colour with garnet reflections. The spiced cherry, candied orange peel and dark berry fruit bouquet is complemented by undertones of tobacco and dried plums. Soft and rich palate with a delicate tannin texture. This supple and dense wine finishes with a return to spicy nuances of leather, coffee and cocoa.Produced by one of the most famous wineries in Puglia, this classic Apulian red faithfully expresses the sunny Manduria terroir and retains the classic fruity notes of Primitivo grapes. A perfect example of synthesis between grape variety and production area. At the end of vinification in steel with maceration on skins, the wine was aged in stainless steel vats for 10 months and for another 6 months in barriques.                 14.5%AWARDS & ACCOLADES 2018 - 1 Black Glass- 91 POINTSMundus Vini 2019 - 86 POINTS - 91 POINTSVeronelli Wine Guide 2019 - 87 POINTSAsia Wine Trophy 2019 Summer - Gold medal "
B.IO bpuntoio Primitivo Puglia IGP (Organic) 2020," B.io bpuntoio Primitivo Puglia Organic IGP Did you know, b.io means love itself, 'b' as Buono(good), good wine as you can't expect it from an organic wine, 'b' as Bene (love), love itself, 'lo' I decide, make the choice on what is good for me and the environment. Hailing from Puglia Italy, B.io wines revolve around sustainability and certification, linked to goodness and quality. Its name probably derives from the fact that it is a rather early ripening grape. The plant produces purple grapes and is mainly grown in Puglia, where it is the most widespread varietal. It is thought to have originated in Dalmatia and this belief is borne out by its similarity to a number of Croatian varietals.Analysis of the DNA has also confirmed the theory that Primitivo and Zinfandel (which originated in the Austro-Hungarian Empire and which has become one of the mainstays of California winegrowers) are actually the same grape.Luscious and Intense red color with a complex bouquet reminiscent of cherries, raisins and toasted almonds. B.io Primitivo is plump and Full-bodied on the palate but at the same time mild and elegant. Long lasting pleasant aftertaste.After destemming, Primitivo grapes are not pressed, but left intact to reduce the damage to the skins and optimize the extraction of the color. Fermentation takes place at a controlled temperature of 24-25°C for 8-10 days. During the early stages of fermentation, the grapes are repeatedly racked and returned to bring out their aroma and tannins.Wines with rich flavours and aromas are a good choice when serving meat dishes. Next time you're heading out for some Kbbq or Japanese meat bbq, give this a go! Great with meats and grilled vegetables alike! 13.5% AWARDS & ACCOLADES  "
Gonzo Vino Mouth Lube 2021," Gonzo Vino Mouth Lube 2021       Bending the rules is always the more fun option. Ancient Mataro vines are squared off with Semillon in a wine as surprising as it is devilishly drinkable from the fridge. The red/white blend is all about a freshness and brightness, especially with a decent chill factor on it.    **By purchasing a gonzo vino cask over glass-bottled wine, you have saved 4 glass bottles in landfill. Self-life once opened: 6 - 8 weeks        Elevate your Mataro game. "
Lakeview Cellars Grand Reserve 2017," Lakeview Cellars Grand Reserve 2017 Lakeview Cellars Grand Reserve is a full-bodied Niagara red wine. Smoky and rich nose that exudes deep tobacco, cedar spice and ripe dark berry fruit aromas. Complex palate with medium tannins and a crisp acidity. Black cherry and cassis fruit flavours follow through to an elegant vanilla, mocha and lightly peppered finish.  40% Merlot, 36% Cabernet Sauvignon and 24% Syrah. The fruit comes from Lakeview's best vineyards in the Niagara region, kissed by Lake Ontario’s offshore breeze. Ages for 36 months in American, French and Hunagrian oak barrels. "
Willi Schaefer Graacher Himmelreich Riesling Kabinett 2021," Willi Schaefer Graacher Himmelreich Riesling Kabinett 2021     A riesling close to working magic, this semi-sweet white will put anyone who tries it under a spell... Pristine fruit flavours with a breathtaking tension and complexity. Fresh nose of white florals, yellow peach, lime zest, pear and herbs. The luscious mouthfeel produces flavours of candied yellow peach, lime ice cream, honeyed green apple, overripe pineapple and slate. Silky and charming with a fine acidity and minerality. Animated, structured and dry, with a long bitter finish of ripe fruits and herbs. 100% Riesling sourced from Willi Schaefer's Himmelreich vineyards. The vineyard name of Himmelreich, which translates as Kingdom of Heaven, likely comes from the site's south to southwest exposure. The vineyard's deep clayey slate soil, cool Mosel climate and perfect sunlight exposure make it a paradise for Riesling. The grapes are hand-harvested, gently pressed whole cluster, and spontaneously ferment and age in old Fuder barrels.     8 % AWARDS & ACCOLADES   Quite smoky with flint and chalk that work rather well with the notes of dried citrus and spices. Medium dry with a deep serving of acidity and peach and stone flavors. Finely tuned and sleek. Drink in 2022.   Christoph Schaefer farms just 10 acres, and half of them are on the steep slate slopes of Graacher Himmelreich. A sunny, protected site, it often makes his most exuberant wine. The party hasn’t started for this vintage yet, but it will. Right now, it’s still got some of the sponti funk from its ambient-yeast fermentation in large barrels; it’s also weighted down with smoky mineral notes and fruit so ripe it edges toward red berries. While it will take a little while in the cellar for the acidity to organize all those flavors into a more Schaefer-esque sense of order and clarity, the wine already has a sense of energy that feels exciting and full of promise   A luscious, velvety spätlese, featuring concentrated ripe apricot, orange marmalade and graham cracker notes, balanced by intense acidity, with hints of honey and sage cream on the finish. Very giving right now, and will only get better. Best from 2021 through 2036 by John Gilman  92+ POINTS "
Kunoh Ajisai 2021," Kunoh Ajisai 2021 Kunoh Ajisai is a natural New Zealand wine created by Yuki Nakano. Opens with a nose of white peach, honeysuckle and fresh cucumber. The medium-bodied palate has a crisp acidity and smooth texture. Gooseberry, white peach and tangerine flavours dominate the palate, followed closely by hints of vanilla.   60% Sauvignon Blanc and 40%Viognier. The fruit for this wine comes from Upper Moutere in New Zealand.  50% barrel fermentation and 50% Sauvignon Blanc co-fermented with carbonic maceration and on skin for 4 days, then pressing together. The wine ages in barrels on lees for 6 months and then in stainless steel for 3 months. No filtration, fining or additives.   "
The Hermit Ram Salty White 2021,"  The Hermit Ram Salty White 2021 The Hermit Ram Salty White is a fascinating, left-field Sauvignon Blanc from Waipara. Salty as the name suggests, but complex too. Light floral notes of meadow flowers and jasmine mingle with green herbs, lemon curd and a whiff of lychee. The aromas follow through to a saline and crunchy mid-weight palate that has a prominent acidity, lovely orange peel character and a subtle savoury nuttiness. Super fun to drink!  100% Sauvignon Blanc. The fruit for this wine comes from Waipara and Theo Coles calls it an ode to the New Zealand coastline.  Some of the fruit goes through fermentation as whole bunch and ages in stainless steel, some goes through fermentation and ages in Spanish amphoras, and some neutral barrels are filled and left un-topped to develop a layer of flor yeast (a la Fino Sherry and Jura Vin Jaune).  "
"Peter Zemmer Pinot Bianco Alto Adige ""Punggl"" DOC 2018"," Peter Zemmer Pinot Bianco Alto Adige ""Punggl"" DOC 2018              Radiant straw-yellow colour with green nuances. Pleasant aromas of green apples, pears and peach, with hints of white flowers, lemon and grapefruit citrus float from the glass. Intense and fruity, with a distinct hint of melon flavour on the palate. Dry, harmonious with a velvety texture and persistent finish of green apples and spice. 100% Pinot Blanc. This Pinot Bianco is a selection of the best vineyards amongst the valley floor and steep slopes near the vineyard estate. After the grapes arrive at the cellar, they are gently pressed and clarified through the natural settling of sediments. Alcoholic fermentation is carried out with pure strains of yeast at a controlled temperature of 18°C in stainless steel tanks. The wine then ripens on the yeast for several months to achieve its perfection. 13.5%AWARD & ACCOLADES - 88 POINTS                              "
Creation Art of Pinot Noir 2018," Creation Art of Pinot Noir 2018    Creation Art of Pinot Noir has a shiny, deep pomegranate red with a robust bouquet of rose petal, dark cherry, pimento and anise. It is complex and utterly enchanting on the palate with opulent layers of cherry and plum mingling with earthy flavours of mushroom and an elegant sprinkling of spice.Art is a vineyard and Barrel selection. The grapes undergo traditional skin fermentation and post-fermentation maceration, followed by malolactic fermentation in the barrels (50% new wood, 50% second fill) for about 12 months. Two – three rackings during the maturation period and light filtration preceded bottling. Situated high up the Hemel-en-Aarde Ridge near Hermanus, Creation’s vines climb the steep hills of Babylon Toren Mountain to a lofty altitude of 350 metres above sea level. Here they bask in generous sunlight, flourish in 450-million-year-old clay loam soils with decomposed Bokkeveld shale and dance in the cool breezes blowing in from the nearby Atlantic Ocean. During the annual growth period, temperatures rarely exceed 30° C, while the cool night index throughout the year is 12° C lower than the day-time temperature.These factors result in full-flavoured grapes of outstanding quality, allowing for the creation of complex wines with length and depth.    We think you'll also love Creation Pinot Noir! 13.5%AWARDS & ACCOLADES - 96 Points - 92 PointsThere's a lovely vibrancy to the nose of this light and ethereal red, with scents of tart cherry, raspberry and currant alongside accents of clove-spiked orange, rooibos and spiced rose water. The palate is light and silky in feel, with pronounced acidity and a tart-fruit character that carries through to the bright yet lingering finish."" "
Domaine De Vernus Chiroubles 2019,"  Domaine De Vernus Chiroubles 2019 Domaine De Vernus Chiroubles reflects the specificities and identity of its terroir. Red colour with generous blue hues. White flowers, fresh red currants and a hint of burning embers fills the nose. A rich and refreshing Gamay with its melting tannins, lively acidity and smokey finish. Ageing potential: Drink until 2026.  100% Gamay. The Chiroubles plots produce a wine of great freshness from their 425m height and granite soils. The plots have an average age of 60 years for Verbomet and 50 years for Châtenay.   Harvesting and hand sorting of the fruit. 100% destemming before alternate grape treading, pumping over and delestage. Cold maceration. Natural fermentation with wild yeasts for 3 weeks before the wine is left to settle for 10 days. The wine matures in oak barrels for 10 months. AWARDS & ACCOLADES  - 90 POINTS ""The 2019 Chiroubles bursts with aromas of sweet berry fruit, burning embers and loamy soil, framed by a classy patina of spicy oak. Medium to full-bodied, ample and sensual, with melting tannins, lively acids and a smoke-inflected finish, it's an attractive Beaujolais with a Burgundian accent.""     "
The Prisoner Red Blend 2019," The Prisoner Red Blend 2018 The Prisoner Red Blend draws inspiration from wines first made by the original Italian immigrant settlers in Napa Valley.Enticing aromas of red cherries, dark chocolate, cloves and figs waft from the glass. Smooth and luscious mouthfeel. Full-bodied with velvety tannins and a bright acidity. Lush raspberry, boysenberry and dark cherry flavours with layers of vanilla and baking spice. Closes in a long finish.     An unlikely blend of Zinfandel with Cabernet Sauvignon, Petite Sirah, Syrah, and Charbono. The wine ages for 15 months in a combination of French and American oak barrels, 55% new.The Prisoner Wine Company works with passionate growers to source varietals from vineyards and appellations across California. Alongside a family of growers, The Prisoner winemaking team pushes boundaries as they craft a selection of unexpected, yet artful wines. The Prisoner Wine Company is located on the legendary Highway 29 in Napa Valley.     15% Crazy for Californian Wines? Check out everything we've got here. AWARDS & ACCOLADES WILFRED WONG OF - 92 POINTS Over the past decade, The Prisoner has become a wine icon. From its label, its story, and ultra-rich profile, this wine has gained legions of fans. The 2018 vintage is solid as the wine as ever been. TASTING NOTES: This wine packs a load and never lets up. Enjoy its powerful black fruit aromas and flavors with grilled red meat dishes accented with a few fiery spices. (Tasted: November 12, 2019, San Francisco, CA) "
Casa Rojo El Gordo del Circo 2020," Casa Rojo El Gordo del Circo    Treat your friends and family to a pleasant surprise with a bottle of one of Spain's best kept secrets. Fun Fact: El Gordo del Circo translates as The Fat Man from the Circus! Casa Rojo's El Gordo del Circo is made with 100% Verdejo. Verdejo is an uncommon, light-bodied wine that grows almost exclusively in Spain. It's one of Spain's higher quality white grape varieties that has languished in obscurity for several hundreds of years before its rediscovery around 15 years ago. Verdejo is an outstanding alternative to wines like Sauvignon Blanc or Pinot Grigio. Greenish yellow colour with gold flecks. Bright and aromatic bouquet showing pear, apple, citrus grapefruit, tropical nuances and fresh herbs. Wide and powerful palate with concentrated lively pear and apple, zesty grapefruit and lime, ripe pineapple and undertones of almonds, honey and aniseed spice. Fruity and crisp with soft, creamy and nutty overtones. Closes with a long finish of sweet fruit, minerals and herbs.    El Gordo del Circo is born from old and pebble-strewn vineyards in Olmedo, where the Verdejo can express all its character. Harvest occurs at night and into the early hours of the day to keep the grapes cool. The grapes enter the winery at a very low temperature (around 10ºC). Once the grapes are received, maceration is carried out for 2–3 days followed by the press. For their Verdejo wine, Casa Rojo only uses the first pressed juice called “mosto yema”. Fermentation is in stainless steel tanks at a controlled temperature of 14ºC. Ages on fine lees for 5 months minimum with weekly batonages. 13.5% *1.5L available! "
"Marc Delienne St Amour ""A la Folie” 2017"," Marc Delienne St Amour ""A la Folie” 2017 Marc Delienne St Amour ""A la Folie” has a light, fresh expression. Delicate notes of aromatic violet florals and red fruit with a gentle crushed rock mouthfeel. A really linear, almost thirst-quenching style of great quality. Juicy and fleshy with a medium body and crunchy acidity. Cherry and strawberry flavours take the lead towards a crisp and lively finish. Australia's love affair with Gamay and Beaujolais continues.   100% Gamay. The fruit for this wine is sourced from the South-East part of the Fleurie vineyard. The soils are mainly sandy or sandy loam, stemming from primary rocks (granite) or ancient alluvium, sometimes covered by a dense layer of pebbles of low to average depth. These black Gamay vines were planted 40–80+ years ago, with a density of 10,000 vines/hectare and pruned using the gobelet method. Manual harvesting of the grapes in small boxes and sorting in the cellar. Maceration of the whole crop in concrete vats with controlled temperature. No yeasting and no chaptalisation. The grapes are not crushed but are softly pumped daily. Brief fermentation of 8 days. AWARDS & ACCOLADES Give this other Marc Delienne wine a go! "
Puchang Saperavi 2016," Puchang Saperavi 2016       Puchang Saperavi has a deep velvety ruby colour. It has aromas and flavours of crushed raspberries and blueberries with hints of fresh herbs such as lemongrass and almonds. It has a medium to full body with creamy tannins. The ripe fruits and tannins have a lovely integration which gives it excellent balance. Ready to drink now to 10 years.The vineyards lie on a bed of alluvial soil of Gobi gravel, sand and silt. South-facing at 650m above sea level. Vines are 26 years old, grapes are watered naturally with melting snow from Tian Shan Mountain. Untouched by men and free from pollution, it channels through the underground Karez water system to the vineyards, keeping the water source naturally pure.Saperavi is a dark skinned grape with pink flesh. This variety was originally from Georgia but spread to many Cnetral Asian countries. Saperavi grapes produce very deep red wines that are suitable for extended aging. It is an extractive wine with a characteristic bouquet and harmonious taste.15 days post-fermentation maceration. 50% of the wine is aged 2nd and 3rd fill French oak barrel, 50% in tank. Blended and filtered before bottling.             14%Explore a range of wine glasses that will elevate your Puchang Saperavi experience.AWARDS & ACCOLADES "
Louis Vallon Crémant de Bordeaux Brut 2019," Louis Vallon Crémant de Bordeaux Brut 2019 Louis Vallon Crémant de Bordeaux Brut comes from one of the best producers of sparkling wines. Golden yellow with light but persistent bubbles. Lively and fresh bouquet of yellow garden fruits, candied lemon, brioche and vanilla cake. Sophisticated and pleasant on the palate, where peach, lemon citrus and summer fruit nuances emerge.    Merlot, Cabernet Franc, Sémillon, with a touch of Muscadelle. The vines grow on clay-limestone soils in Bordeaux, France. The harvest is done exclusively by hand. Traditional production method following the Champagne method: pressing, first fermentation, taking off foam in the bottle for the second fermentation, ageing, riddling, disgorging and drawing. Ages for at least 12 months on slats so that its aromatic and gustatory qualities develop.   AWARDS & ACCOLADES   - 86 POINTS  Crisp and fruity with a herbal touch, the wine is fresh and crisp. Plenty of citrus and green apples give a tight burst of acidity at the end. The wine is ready to drink. "
Chaffey Bros Düfte Punkt Aromatic Blend 2016," Chaffey Bros Düfte Punkt Aromatic Blend 2016 Chaffey Bros ""Düfte Punkt"" 2016 grape varieties: 39% Riesling, 38% Gewürtztraminer and 24% Kerner.Funky, fun and ultra aromatic. Striking lychee and Turkish Delight aromas with a lingering powder-puff of florals. Light and fresh. A candied tropical and citrus fruit character with a mineral backbone. The complex palate is quite dry and has a lively refreshing acidity.          A seamless single vineyard blend. The Fechner brothers' vineyard is unique for its spectacular aromatics and varietal mix. Hand-picking and whole bunch pressing each variety separately. The Gewürtztraminer is given 18 hours skin contact prior to pressing. The cold settled juice parcels are racked without fining prior to co-fermentation to maximise complexity.Check another aromatic Australian white here.            12%AWARDS & ACCOLADES A triple treat with spice, lychees and Turkish Delight aromas of the gewurztraminer to the fore, riesling's racy acidity driving this and the kerner adding preserved lemons, body and grip. - 92 POINTSThe 2016 vintage marked three years in a row in the HOT100 Wines SA competition Light, medium yellow colour, with a pronounced gewürzy fragrance which summons frangipani and other tropical flowers. Hints of honey and apricot. The palate is soft and round, not a classic riesling 'shape'. An obvious and well-managed blend of aromatic varieties "
Broc Cellars Love White 2021," Broc Cellars Love White 2021 Broc Cellars Love White is meant to be a fresher style of a Rhône-inspired white that is structured, delicious and infinitely drinkable. All the varieties in the blend play a key role in delivering its unique balance.  Pale yellow colour. The nose opens with refreshing aromas of lemon citrus and golden pear. The medium-bodied palate tastes of ripe golden pear, yellow peaches, honeysuckle and delivers a pleasant salinity.  Blend of 31% Marsanne, 24% Albariño, 18% Grenache Blanc, 15% Rousanne and 12% Picpoul. The fruit for this wine comes from three vineyards: Love Ranch, North Canyon Vineyard and Windmill Vineyard. Love Ranch grows Marsanne, Roussanne, Grenache Blanc and Picpoul for the Love White and is farmed by Broc Cellars' friend Oscar Ramos. The vineyard is located 35 miles south of Yosemite National Park in Madera, at 1,300 feet in elevation. The soils are made up of granitic schist. A large amount of leaves are kept on the vines to protect against the heat. North Canyon Vineyard is located in Santa Maria Valley and Windmill Vineyard is in Yolo County. All three vineyards are CCOF. Harvesting the grapes in August and early September to help preserve their natural acidity. All varieties go through fermentation separately, then age in neutral French oak barrels with no S02. Natural malolactic fermentation.  "
"Lvnae Bosoni Vermentino Colli di Luni ""Gray Label"" DOC 2019"," Lvnae Bosoni - Vermentino Colli di Luni ""Gray Label"" DOC The Vermentino ‘Grey Label’ (a.k.a. Etichetta Grigia) is all about freshness and it is considered by many the best expression of true Ligurian Vermentino.Where this grape variety has found its perfect habitat. Vermentino expresses a crisp and lean body with a delicate perfume of citrus, floral and herbal. Beautiful saline aftertaste that recalls the area of Cinque Terre.A straw-yellow colour with youthful greenish highlight. Easy to drink. Intense, persistent and elegant with hints of hawthorn, grapefruit, rennet apple, white peach, undertones of acacia honey. Fresh and properly balanced on the palate, it rewards us with interesting developments of tasteHarvest by hand, fermentation is carried out in stainless steel tanks at controlled temperature, 1 month on lees until bottling.If you always dreamt to visit the Cinque Terre, this wine’s acidity and mineral components will make you feel as if the coastal breeze was gently touching your face and you can almost  smell the scents of the sea. The aromas of this wine represent the great expression of herbs available in this beautiful region, such as basil. Perfect wine with vegetarian dishes!We must add that the morphology of this region makes viticulturists harder, so when you drink Liguria wines you are supporting hardworking producers to keep making unique products like this one.  13% AWARDS & ACCOLADES  - 90 PTS        “Pungent aromas of sage, pine and juniper mingle with peach and grapefruit notes in this intense white. Mouthwatering, showing fine balance and a lingering aftertaste of wild herbs and grapefruit peel. Drink now through 2024.”                “This has a neat lemon and honeydew nose with a succulent, smooth, juicy edge that carries a fresh, minerally lemon finish.” - 91 PTS        “Lunae Bosoni, the largest winery in Liguria, shows that big can be beautiful. They make an exquisite- ly consistent line-up of Vermentino. Scents of wild herbs and spice leap from the glass of this one, their so-called entry level wine. Its clean and cutting na- ture enlivens the palate.A subtle touch of white pep- per-like spice in the finish enhances its appeal. It’s a fantastic choice for summertime seafood, such as linguine bathed in a clam sauce.”                "
Catena Zapata Alta Malbec 2017," Catena Zapata Alta Malbec 2017 Catena Zapata Alta Malbec has a bright ruby red. It has elegant, aromatic notes of blackberry, raspberry, and flowers, with licorice elements and a touch of leather. The palate is rich with soft and sweet tannins and a silky smooth structure. It has multiple complex layers of rich cassis, black currant, interwoven with hints of black pepper. Its lengthy finish is marked by wonderful minerality, finely-grained tannins and lively acidity.          Catena Alta is an assemblage of historic rows within the Catena family Estate vineyards. The blend of these historic rows, like the marriage of sounds that create a symphony, yields a highly aromatic and elegant wine that speaks for the earth and the vines that have been tended by the Catenas for four generations. The Catena Alta wines can usually be drunk starting at three years after harvest and into the following one to two decades. Vineyard lots are harvested at different times to ensure optimal natural acidity and moderate alcohol levels. Whole berries are hand loaded into small format fermentation bins and 225-500 L barrels; lots from each vineyard are treated individually; fermentation and maceration last for 28-30 days; cold maceration. Wild yeasts. Alcoholic and malolactic fermentation in barrel; wine undergoes active battonage to protect it and drastically reduce the amount of SO2 needed. Aged for 18 months in French oak.  Check out the other vintage.  13.8%          AWARDS & ACCOLADES  The polished and developed 2017 Catena Alta Malbec has balsamic aromas and a very attractive mixture of flowers, berries and spices. It has contained ripeness for a warm vintage, with a serious profile, medium body and fine-grained tannins, with good grip. It was fermented with full clusters and matured in used French oak barrels for some 18 months. I like the austerity and grip on the palate.  - 92 Points Well-structured, with a fine-grained texture to the lively mix of dried red berry and spice flavors. Slate and floral hints on the crisp finish. Drink now through 2025.  Bright ruby. Pure but tight aromas of blackberry, raspberry, bitter chocolate and flowers, with a licorice element emerging with air. Fully ripe, concentrated and sweet, and a step up in density of texture and definition from most of the foregoing Malbec examples. This utterly smooth Malbec finishes with terrific breadth, refined tannins and palate-staining persistence. Winemaker Vigil noted that he picked mostly in early October, before the rains made the end of the harvest an adventure. Yields were low in 2017 due to frost and the Zonda wind in spring, he added. No edges here  - 90 Points Alta is a blend from old-vine parcels in six of Catena’s estate vineyards, some in Luyán de Cuyo and others from higher altitudes, in the Uco Valley. The 2017 captures the intensity of that fruit in its dark, jammy core, surrounded by brighter, floral flavors of strawberry and hibiscus. It’s hearty but not heavy, a balanced and versatile malbec. "
Torre dei Beati Pecorino Organic “Giocheremo Con I Fiori” DOC 2019," Torre dei Beati – Pecorino Organic “Giocheremo Con I Fiori” DOC 2019         Torre dei Beati Pecorino has a straw yellow with gold shades. It has a dense introduction with fine and elegant nose of citrus and white flower. The round and full-body is balanced out with vibrant notes of herb variety and hints of honey. It enters the mouth smoothly and the zesty acidity and minerality grows into a mouthwatering persistence.Pecorino is recently recovered in the territory and has a low yield with a big enological value that deserves wine lovers’attention. Obtained through repeated pickings harvest and a traditional vinification. This version is aimed at expressing the Pecorino fundamental characteristics, exalting (but with no excess), the fresh aromatic complexity of this tasting profile.100% Pecorino from a vineyard that has an altitude of 300m, grown in clay-limestone on a sandy sublayer. The fermentation took place 100% in steel with controlled temperature. The wine is then aged for 6 months “sur lies” in steel tanks.  Give this Rosé from the same winery a try!  13.5%              AWARDS & ACCOLADES- 92 Points - 91 Points - 91 PointsGentle, rounded aromas of cantaloupe, lemon and a bevy of field flowers waft from the glass. The medium-bodied palate brings together juicy shots of citrus and melon against a mildly waxy texture. There's ample presence and lift to it all, making this a delightful entry point to the Pecorino variety.  - 90 Points  "
Domaines Dominique Piron Beaujolais-Villages 2018," Domaines Dominique Piron 2018 Beaujolais-Villages This 2018 vintage has aged elegantly and is now ready to drink, serve this fine bottle over a simple dinner to elevate the entire experience.Domaine Dominiquee Piron Beaujolais-Villages has an aroma characterized by blackcurrant and strawberry and a beautiful structure that complements its elegant complexity. It has a nice touch of freshness and a well-balanced tannic edge. This bouquet is light and fine and can be served at informal dinners with lightly seasoned poultry and fish, and goes exceptionally well with cold cuts.The vines used for the Beaujolais-Villages appellation surround the vineyard area on the hills of the Northern Beaujolais. They have an eastern exposure at sunrise and benefited from the sandy granite soil made up of small stones to capture the heat of the sun and this enhances the natural freshness of the fruit. This bottle is made up of 100% Gamay Noir which is grown from vines with an average age of 50 years.Gamay is the heart and soul of Beauolais crus. It is a cross between Pinot noir and Gouais Blanc vine varieties. Gamay was originally imported from Croatia by the Huns in the 4th century and is a delicate variety and has is either excellent or nothing at all. Gamay is a remarkable variety because it can either be enjoyed young for its fruitiness and elegance or allowed to age and develop structure and mineral qualities.The grapes are harvest manually with very light, partial destemming. Semi-carbonic fermentation then begins in cement and stainless steel vats. The fermentation does not exceed 8 – 10 days in order to preserve the freshness and aromas of the fruit. This vinification is a traditional Beaujolais process.Interested in other wines from the Beaujolais region? Check out Marc Delienne Fleurie's “Maurice” 2018 and ""Pierreux"" 2017.12.5% AWARDS & ACCOLADES  - 90PTS From vines close to the cru village of Morgon, this wine is firm, structured and with spicy richness. Its black cherry and tannic edge suggest aging potential. Drink this wine from mid-2021. - 90PTS "
Coppola Diamond Collection Zinfandel 2017," Coppola Diamond Collection Zinfandel 2017 A Drama-mama Red!Coppola Diamond Collection Zinfandel is a dramatic wine. Spicy, jammy and bold, the Diamond Collection Zinfandel is rich with ripe red fruit flavours. Aromas of blueberry pie almost! Freshly picked blackberries, raspberries and a hint of star anise. Your tongue will be pampered by juicy plums, black cherries and a tinge of freshly ground white pepper. This character convinces with its complex, body-rich nature and its intense fruit aromas. A long finish of caramel, vanilla, baking spices tooSourced from ‘old vines’ in Amador County and cooler vineyards in Paso Robles and Sonoma, this Zinfandel has exceptional depth and complexity. Petite Sirah is blended in to further enhance the luscious strawberry jam, cassis and briar flavors that follow its perfume of dark fruit, sweet spice and toasty vanilla. Diamond Collection wines are carefully combined to create wines perfect for all occasions – including those special just because ones. Blended from fruit selections that represent different clones, soils, and cultivation methods, the diversity of fruit that goes into making Coppola Diamond Collection Zinfandel provides added complexity and richness.Vibrant packaging and fruit-forward, smooth wines are the signatures of Francis Ford Coppola Diamond Collection.  13.5%How about another natural version from California?AWARDS & ACCOLADES - 88 PTS - 86 PTS "
"Meinklang Österreich ""Roter Mulatschak"" 2021"," Meinklang Österreich ""Roter Mulatschak"" 2021 Meinklang Österreich ""Roter Mulatschak"" 2021 is filled with juicy cherry and pomegranate fruit flavours and a peppery spiciness. There's a tiny bit of fizz and low amounts of tannins so you can drink it chilled.    Top Tip: Drink it chilled at 12°C.  Blend of Zweigelt and Saint Laurent. The vines grow freely (no pruning) in mineral-rich volcanic soils in Meinklang's certified biodynamic vineyards. The vineyards are located in Pamhagen, Austria. Pamhagen is in the middle of the (World Heritage Site) National Park Neusiedlersee, on the Eastern side of the Neusiedlersee Lake, bordering directly on the Hungarian lowlands. The vineyards are fertilised with compost produced on the farm using sheep, cow and horse manure, pomace, green waste and occasionally also rock dust. One week spontaneous co-fermentation in stainless steel tanks using low-intervention methods. The wine ages for 4 months in stainless steel tanks sur lie. No fining or filtering before bottling.  Ageing potential: Up to 3 years. "
Puchang Rkatsiteli 2019," Puchang Rkatsiteli        Puchang Rkatsiteli is pale gold in colour. This wine is all about the texture. A mouth-coating richness is perfectly balanced by vibrant acidity. It has notes of white fruits such as peach, pear and a touch of coconut woven with minerality. It has wonderful concentration on the core with a lengthy finish. Ready to drink now to 10 years.A blend of Rkatsiteli and Riesling. Rkatsiteli is a white grape originating from the Republic of Georgia, it is noticeably acidic, with spicy and floral notes in the aroma.The vineyards lie on a bed of alluvial soil of Gobi gravel, sand and silt. South-facing at 650m above sea level. Vines are 26 years old, grapes are watered naturally with melting snow from Tian Shan Moutnain. Untouched by men and free from pollution, it channels through the underground Karez water system to the vineyards, keeping the water source naturally pure.Turpan is located in the heart of Xinjiang near the Tianshan Mountains Basin, also known as “Fire Island”. The grapes are watered with melting snow from Tian Shan Mountain. Untouched by men and free from pollution, it channels through the underground Karez water system to the vineyard, keeping the water source naturally pure              13.5% AWARDS & ACCOLADES  Explore a range of wine glasses that will elevate your Puchang Saperavi experience. "
